,word1,word2,prediction
226,bishop,priest,-3.0268516540527344
227,bishop,radical,-5.036440849304199
228,bishop,wine,-5.782018184661865
229,bit,curb,-5.422251224517822
230,bit,tool,-5.421019077301025
231,bitter,taste,-4.432137489318848
232,black,blue,-3.9480581283569336
233,black,bright,-4.3072285652160645
234,black,brown,-4.226113796234131
235,black,cigarette,-5.51441764831543
236,black,juvenile,-5.496334552764893
237,black,skirt,-4.06795597076416
238,black,white,-3.4531807899475098
239,blast,smashing,-4.4584197998046875
240,blaze,pig,-5.525481224060059
241,blessing,patronage,-4.7942705154418945
242,blizzard,rash,-4.159148216247559
243,block,hinder,-4.447709560394287
244,blonde,haircut,-3.424325704574585
245,blonde,wig,-3.1763675212860107
246,bloom,flower,-5.002327919006348
247,bloom,friend,-5.6585798263549805
248,bloom,plant,-4.985683441162109
249,bloom,purple,-4.85172700881958
250,blossom,bud,-4.219749450683594
251,blossom,cherry,-3.0248260498046875
252,blossom,daisy,-3.2795400619506836
253,blossom,foliage,-3.056105136871338
254,blossom,orange,-4.268826484680176
255,blossom,petal,-2.883002281188965
256,blossom,purple,-3.48834228515625
257,blow,contact,-5.880307197570801
258,blow,swat,-5.350584506988525
259,blowing,smoking,-5.0045084953308105
260,blue,colour,-5.020671367645264
261,blue,happy,-6.6175408363342285
262,blue,report,-6.28377103805542
263,blue,shade,-4.356863498687744
264,blue,skirt,-4.137232780456543
265,blues,rhythm,-4.160458087921143
266,blur,focus,-4.41778039932251
267,blur,metro,-5.100069999694824
268,board,deal,-4.545925140380859
269,boardwalk,park,-4.10312557220459
270,boast,complain,-4.242244243621826
271,boat,negro,-5.772352695465088
272,boat,shore,-3.5743913650512695
273,bold,forward,-4.5153679847717285
274,bold,leader,-5.3685102462768555
275,bone,skull,-3.509521722793579
276,book,building,-6.432732105255127
277,book,smoking,-6.344267845153809
278,booklet,reference,-4.507985591888428
279,boot,kick,-4.644151210784912
280,boot,punch,-4.617588043212891
281,bootleg,produce,-5.334153652191162
282,bootleg,whiskey,-3.8580849170684814
283,born,construction,-6.274316310882568
284,born,mother,-3.9760191440582275
285,born,subway,-6.27336311340332
286,bottle,wine,-3.630032777786255
287,bound,line,-4.356303691864014
288,bound,skirt,-4.637961387634277
289,bowling,wheel,-5.401381969451904
290,boxer,stair,-4.41109561920166
291,boxing,hit,-5.375114917755127
292,boy,hand,-4.644704341888428
293,boy,live,-4.785654067993164
294,bracelet,jewelry,-3.7425637245178223
295,bracelet,mountain,-5.509545803070068
296,brain,head,-5.154706001281738
297,brake,click,-5.46173620223999
298,branch,tea,-5.266885757446289
299,brass,executive,-5.749978065490723
300,brazil,nut,-5.232457160949707
301,brazil,triple,-5.808990478515625
302,bread,bun,-3.39216947555542
303,bread,cooking,-2.829660415649414
304,bread,cover,-4.808224678039551
305,bread,dessert,-2.8603057861328125
306,bread,egg,-3.0490612983703613
307,bread,medicine,-5.449948787689209
308,break,glittering,-5.16099214553833
309,break,scattered,-5.646758556365967
310,breakfast,diner,-3.624476909637451
311,breakfast,evening,-5.009769439697266
312,breakfast,lunch,-3.0251495838165283
313,breakfast,makeup,-5.806432247161865
314,breakfast,morning,-4.702364921569824
315,breakfast,people,-5.695842742919922
316,breakfast,relax,-4.907210826873779
317,brick,cement,-4.11828088760376
318,brick,construction,-5.317391395568848
319,brick,skyscraper,-4.171602249145508
320,bride,photographer,-4.787961959838867
321,bright,dark,-3.3113622665405273
322,bright,fruit,-4.759069442749023
323,bright,mist,-4.302186489105225
324,bright,raspberry,-4.291286468505859
325,bright,shade,-3.2822136878967285
326,bright,sky,-4.231204032897949
327,bring,presenting,-4.800078392028809
328,bring,return,-3.6404218673706055
329,broadcast,packet,-4.758022785186768
330,bronze,sculpture,-4.322059631347656
331,bronze,suspicion,-5.821663856506348
332,brown,green,-4.224275588989258
333,brown,hawk,-5.408032417297363
334,brown,purple,-4.5890326499938965
335,brown,white,-4.11099910736084
336,brussels,sweden,-5.177213191986084
337,bucket,water,-4.4139533042907715
338,bud,flower,-4.9361090660095215
339,bud,ivy,-4.65683126449585
340,budget,fund,-4.946573734283447
341,budget,scale,-5.003836631774902
342,bug,insect,-3.4352197647094727
343,building,cafe,-5.444954872131348
344,building,construction,-4.168637752532959
345,building,downtown,-3.7684481143951416
346,building,floor,-4.635926723480225
347,building,ministry,-5.964717388153076
348,building,tall,-5.420467853546143
349,building,zombie,-5.8828206062316895
350,burger,cooking,-4.598054885864258
351,burger,dessert,-4.120116233825684
352,burger,salad,-3.982367992401123
353,burger,soup,-3.9768753051757812
354,burn,fire,-4.031591892242432
355,burn,ripple,-4.901860237121582
356,bus,rail,-4.158207416534424
357,business,railway,-5.540436744689941
358,butter,stick,-3.697052001953125
359,butterfly,caterpillar,-4.9890570640563965
360,butterfly,dragonfly,-4.373426914215088
361,butterfly,glittering,-4.667819023132324
362,button,sticker,-4.38149356842041
363,cafe,child,-6.1986589431762695
364,cafe,coffee,-4.839540481567383
365,cafe,dinner,-4.080036640167236
366,cafe,donut,-4.8699951171875
367,cafe,lunch,-4.17040491104126
368,cafe,pub,-3.5318472385406494
369,cafe,reflection,-5.395259857177734
370,cafe,relax,-5.520839691162109
371,cafe,shop,-4.069523334503174
372,cafe,spiral,-5.533622741699219
373,cake,christmas,-4.179498195648193
374,call,meeting,-5.7635498046875
375,call,statement,-5.59417724609375
376,call,telephone,-4.415896892547607
377,camel,desert,-4.419580936431885
378,camp,camp,-0.0
379,campaign,conspiracy,-6.009115695953369
380,can,sketch,-5.840509414672852
381,candidate,republic,-5.29237699508667
382,canine,dog,-3.4266364574432373
383,canyon,landscape,-4.241961479187012
384,canyon,river,-3.436340093612671
385,car,insurance,-5.611100673675537
386,car,pig,-5.896426200866699
387,car,skull,-5.649416923522949
388,card,playing,-5.785666465759277
389,card,see,-5.677523136138916
390,carrier,carrier,-0.0
391,carrier,traveler,-5.327383518218994
392,carrier,vehicle,-5.453168869018555
393,carrot,memorial,-5.631202220916748
394,carrot,salad,-2.496569871902466
395,cart,wagon,-4.79220724105835
396,cartoon,wit,-5.053581714630127
397,case,clients,-5.494036674499512
398,cast,cast,-0.0
399,cast,shoot,-5.272253036499023
400,castle,patio,-4.54255485534668
401,castle,ruin,-4.436555862426758
402,cat,garden,-4.963108062744141
403,catch,catching,-2.79921293258667
404,catch,hooks,-4.60443115234375
405,catching,perceive,-4.805424690246582
406,catching,playing,-4.813931465148926
407,category,flavor,-5.775666236877441
408,catering,loan,-5.840923309326172
409,caterpillar,paint,-5.599728584289551
410,cathedral,step,-5.146770000457764
411,cattle,goat,-4.34574556350708
412,cattle,web,-6.540322780609131
413,cautious,film,-6.015244960784912
414,ceiling,marble,-3.750750780105591
415,ceiling,mug,-5.710159778594971
416,ceiling,room,-4.26403284072876
417,ceiling,staircase,-3.5748000144958496
418,ceiling,wall,-4.664202690124512
419,cell,membrane,-4.338973045349121
420,cemetery,grave,-3.100919008255005
421,cemetery,memorial,-3.6683132648468018
422,center,center,-0.0
423,center,refer,-5.160132884979248
424,century,period,-5.51530647277832
425,century,temperature,-6.0647406578063965
426,ceramic,floor,-4.667674541473389
427,chance,fortune,-5.538620948791504
428,chance,opportunity,-4.0105671882629395
429,chance,ring,-5.623278617858887
430,change,laundering,-5.585567951202393
431,change,transforming,-4.169156551361084
432,change,yielding,-5.315071105957031
433,channel,sound,-5.638607025146484
434,chaos,death,-5.3231282234191895
435,chapel,porch,-4.607814788818359
436,chapel,ruin,-4.812906742095947
437,charcoal,fuel,-5.056078910827637
438,charge,damage,-6.248353481292725
439,charge,sentence,-4.938385486602783
440,checked,checked,-0.0
441,cheer,musician,-5.23979377746582
442,cheese,food,-4.178760051727295
443,cheetah,flame,-5.135313987731934
444,chemical,intermediate,-5.542302131652832
445,chemistry,patient,-5.275312423706055
446,cherry,fruit,-3.1751062870025635
447,cherry,grape,-3.17822265625
448,cherry,lamb,-3.792684555053711
449,cherry,meat,-4.908755302429199
450,cherry,orange,-3.831686496734619
451,cherry,raspberry,-2.6933445930480957
452,chess,family,-6.024476528167725
453,chess,toy,-5.386415958404541
454,chicken,lamb,-2.387493133544922
455,chicken,poultry,-3.7459897994995117
456,chief,guru,-5.052967548370361
457,child,lad,-5.272320747375488
458,child,street,-6.284691333770752
459,chile,plate,-4.851852893829346
460,chocolate,rock,-5.551390647888184
461,choice,option,-3.8130834102630615
462,chopper,poppy,-5.144501686096191
463,chord,play,-5.39528226852417
464,christmas,valentine,-5.109863758087158
465,church,porch,-5.696480751037598
466,church,temple,-4.224865913391113
467,circle,oval,-4.833712100982666
468,circle,sport,-5.724973678588867
469,city,round,-6.236461639404297
470,city,ruin,-5.523565292358398
471,city,sidewalk,-5.205784320831299
472,city,square,-4.8345537185668945
473,city,urban,-4.7647385597229
474,class,sex,-4.9823832511901855
475,cliff,coast,-5.594964504241943
476,cliff,harbour,-4.6196393966674805
477,cliff,waterfall,-3.8007071018218994
478,clinic,session,-5.359251499176025
479,clock,timer,-3.9543256759643555
480,close,short,-3.973029613494873
481,closed,closed,-0.0
482,closed,state,-5.827032089233398
483,closed,up,-4.427557945251465
484,closing,closing,-0.0
485,closing,finale,-5.35526704788208
486,clothes,short,-5.078832626342773
487,cloud,energy,-5.459527969360352
488,club,hockey,-4.449481964111328
489,club,shirt,-5.535800933837891
490,clubhouse,pop,-5.476457118988037
491,clue,parish,-5.255255699157715
492,coast,scenery,-5.317051887512207
493,coast,sunk,-4.618218898773193
494,coast,zebra,-5.703037738800049
495,coat,resurfacing,-5.025475025177002
496,coat,roof,-5.20375394821167
497,cock,penis,-3.9717507362365723
498,cocktail,garage,-5.3885498046875
499,cocktail,restaurant,-4.292870044708252
500,coffee,meeting,-6.53530216217041
501,coffee,tea,-4.010047912597656
502,coin,gold,-4.726838111877441
503,coin,silver,-4.703189373016357
504,coin,ticket,-5.171341419219971
505,cold,mist,-4.188421726226807
506,cold,rain,-4.182742595672607
507,cold,silver,-5.9051947593688965
508,cold,sunny,-4.421001434326172
509,cold,sunshine,-4.118602275848389
510,cold,water,-4.452164649963379
511,cold,weather,-4.36626672744751
512,cold,winter,-4.104175090789795
513,coldness,cool,-5.162078380584717
514,collage,exhibition,-4.370950698852539
515,collage,paint,-4.01176643371582
516,collage,sculpture,-3.375908613204956
517,collage,stream,-4.717001914978027
518,collapse,shock,-4.648737907409668
519,collar,tiger,-4.916819095611572
520,collect,collect,-0.0
521,collect,scrape,-4.670924186706543
522,collection,library,-4.000307083129883
523,collection,packet,-5.334427356719971
524,color,quality,-5.20990514755249
525,color,wash,-5.607452869415283
526,colorful,outfit,-3.8306493759155273
527,colorful,shot,-6.1075897216796875
528,colorful,toy,-4.640374660491943
529,colorful,wood,-5.069462776184082
530,colors,emblem,-4.898299694061279
531,colour,grey,-4.185050964355469
532,colour,shade,-4.037981986999512
533,comfort,relief,-5.234904766082764
534,comment,mention,-4.414755344390869
535,commercial,manufacture,-4.817917823791504
536,commitment,guarantee,-4.438841342926025
537,communication,theater,-5.944079875946045
538,compact,short,-5.257371425628662
539,company,distributor,-3.9280929565429688
540,compartment,stalls,-4.806698799133301
541,compatible,software,-3.6438403129577637
542,competes,race,-4.711440563201904
543,compound,enhance,-5.615189075469971
544,compound,whole,-5.424527645111084
545,computer,lab,-4.883625030517578
546,computer,number,-5.832302570343018
547,computer,platform,-5.20587682723999
548,computer,railway,-5.811386585235596
549,concentration,focus,-4.549283981323242
550,concert,jazz,-3.6288809776306152
551,concert,sing,-4.213432312011719
552,concerts,settle,-5.99916410446167
553,conclusion,judgment,-3.613842010498047
554,conclusion,situation,-4.251335144042969
555,concoct,request,-5.432448387145996
556,concrete,interior,-5.57415246963501
557,concrete,pin,-5.624070644378662
558,cone,palm,-5.664980411529541
559,congress,sex,-5.690855979919434
560,connection,keyboard,-5.260258674621582
561,consequences,position,-4.840392112731934
562,consistency,phase,-5.304185390472412
563,construction,downtown,-5.101857662200928
564,construction,interior,-6.151553153991699
565,contact,print,-6.125767707824707
566,control,driving,-4.988743782043457
567,cooking,dessert,-3.455691337585449
568,cooking,eat,-4.293378829956055
569,cooking,food,-4.026537895202637
570,cooking,frozen,-4.373475074768066
571,cooking,salad,-3.033754825592041
572,cool,cool,-0.0
573,cool,jazz,-5.700540065765381
574,cool,state,-5.809388160705566
575,cop,dirty,-4.253189563751221
576,cop,music,-5.6567463874816895
577,cop,ruin,-4.646172046661377
578,cord,eclipse,-5.593806743621826
579,corn,pepper,-3.801649332046509
580,cost,price,-4.312257289886475
581,costume,halloween,-4.013635158538818
582,costume,radiation,-5.563003063201904
583,cottage,patio,-3.5507044792175293
584,council,minister,-4.644760608673096
585,count,investigation,-4.729475021362305
586,count,number,-4.740793228149414
587,counter,furniture,-4.698702335357666
588,counter,negative,-5.043643951416016
589,couple,family,-4.237058162689209
590,couple,makeup,-5.434428691864014
591,couple,race,-5.513233184814453
592,cousin,relation,-4.358992099761963
593,cover,feather,-5.33141565322876
594,cover,sleeve,-5.4267659187316895
595,covering,skin,-4.206588268280029
596,cowboys,ranch,-5.059523105621338
597,crack,cracking,-2.963621139526367
598,cracking,noise,-4.160829067230225
599,cracking,sound,-4.6208953857421875
600,craft,game,-5.917812347412109
601,crane,stair,-4.228696346282959
602,crash,swing,-5.656498432159424
603,creation,stitch,-4.866392612457275
604,credit,flap,-5.85883903503418
605,credit,foundation,-5.458339691162109
606,crew,unit,-5.432190895080566
607,critic,reviewers,-4.330110549926758
608,crochet,family,-5.844892501831055
609,crochet,jewelry,-4.757164478302002
610,crochet,knitting,-2.9880125522613525
611,cross,mug,-6.247293949127197
612,cross,post,-5.319546222686768
613,cross,pub,-5.726550102233887
614,cross,shopping,-5.666165828704834
615,crush,push,-4.590978145599365
616,crush,split,-4.483277797698975
617,crystal,spiral,-4.734508037567139
618,cube,dice,-4.072534084320068
619,cup,handbag,-5.721852779388428
620,curb,smother,-5.263250350952148
621,curb,train,-5.415194511413574
622,current,flow,-4.318449020385742
623,cut,gore,-5.669403553009033
624,cute,fashion,-4.803592205047607
625,cute,friend,-4.736292839050293
626,cute,fun,-3.9051334857940674
627,cute,haircut,-4.1070427894592285
628,cylinder,pen,-5.445685386657715
629,daisy,foliage,-4.042770862579346
630,daisy,grass,-4.910167694091797
631,daisy,petal,-3.008209466934204
632,dance,hotel,-5.68106746673584
633,dandelion,foliage,-3.6479828357696533
634,dandelion,grass,-4.39288854598999
635,dandelion,petal,-1.90792977809906
636,danger,status,-5.296515941619873
637,dark,flamingo,-5.210336685180664
638,dark,pod,-4.851618766784668
639,dark,white,-4.698395729064941
640,dashboard,protection,-5.398830890655518
641,daughter,graphic,-5.929814338684082
642,daughter,pub,-5.566216468811035
643,dawn,day,-5.014995574951172
644,day,glide,-5.4467244148254395
645,day,horse,-5.752465724945068
646,day,independence,-5.379051208496094
647,day,night,-4.160268783569336
648,day,sunny,-4.740100860595703
649,day,sunset,-4.880429267883301
650,day,weather,-4.811087608337402
651,dead,sidewalk,-4.902230739593506
652,deaf,people,-4.956055164337158
653,death,funeral,-4.887862682342529
654,decision,option,-4.9245147705078125
655,decoration,tulip,-3.365750312805176
656,defeat,ending,-4.947474479675293
657,defeated,people,-5.40073299407959
658,degree,quantity,-5.460230350494385
659,demand,supply,-3.728473663330078
660,demolition,interior,-5.6150054931640625
661,demolition,skyscraper,-4.1727705001831055
662,demolition,tall,-5.539200305938721
663,desert,mountain,-3.674813747406006
664,deserve,merit,-4.244716167449951
665,deserve,want,-4.368446350097656
666,design,graphic,-5.604345798492432
667,design,orange,-6.2425312995910645
668,designation,recognition,-4.872157096862793
669,designs,intend,-5.197381973266602
670,dessert,head,-5.438526630401611
671,dessert,salad,-2.064377546310425
672,determination,selection,-5.124917030334473
673,development,twist,-6.28304386138916
674,diamond,parade,-5.430901050567627
675,diamond,short,-4.924008846282959
676,diamond,stencil,-4.6888017654418945
677,difficulty,problem,-3.7885568141937256
678,digit,toe,-5.436615467071533
679,dilute,market,-5.143068313598633
680,dinner,sitting,-4.890867233276367
681,dinner,sleep,-5.422922611236572
682,direction,direction,-0.0
683,direction,traveling,-4.792056083679199
684,dirt,racing,-5.227171897888184
685,dirt,road,-4.153601169586182
686,dirt,sand,-3.4668219089508057
687,dirty,dude,-4.439281463623047
688,dirty,rabbit,-4.6284027099609375
689,dirty,washing,-4.128758430480957
690,discharge,spread,-5.747646808624268
691,discipline,discipline,-0.0
692,disk,dot,-4.757501602172852
693,display,stick,-5.533623218536377
694,dissipate,isolate,-5.038071155548096
695,distinction,sword,-4.872001647949219
696,distinguish,medal,-5.615657329559326
697,distinguish,sex,-5.120009422302246
698,disturbance,upset,-5.674065113067627
699,diversion,skiing,-5.3256916999816895
700,dock,herb,-4.953737735748291
701,dog,husky,-4.647877216339111
702,dog,secretary,-5.640336990356445
703,doll,new,-5.2069220542907715
704,dome,interior,-5.712491512298584
705,dome,uniform,-5.514598369598389
706,donut,panda,-3.9983372688293457
707,door,interior,-5.8464765548706055
708,door,porch,-3.9100501537323
709,door,room,-3.9840407371520996
710,downtown,field,-5.213588237762451
711,downtown,hockey,-5.64937686920166
712,downtown,ruin,-5.366398334503174
713,downtown,shopping,-4.274772644042969
714,downtown,subway,-4.398154258728027
715,drag,drawing,-4.603823184967041
716,dragon,drop,-5.41210412979126
717,dragonfly,frog,-3.4975292682647705
718,dragonfly,insect,-3.651596784591675
719,draw,draw,-0.0
720,draw,entertainer,-5.2316365242004395
721,dress,match,-5.333488464355469
722,dress,neckline,-3.4452004432678223
723,dress,outfit,-2.6788783073425293
724,dressing,patch,-4.790188789367676
725,drill,implement,-5.465249538421631
726,drink,turn,-5.49171781539917
727,dripping,hot,-4.111840724945068
728,dripping,round,-5.796572208404541
729,dripping,wet,-3.6081912517547607
730,drive,drive,-0.0
731,drive,operate,-4.843050003051758
732,drop,drop,-0.0
733,drop,measure,-5.727855682373047
734,drop,sink,-5.10847282409668
735,dropping,dropping,-0.0
736,drought,time,-5.143563270568848
737,drug,reflection,-6.153685569763184
738,drug,sing,-5.816280841827393
739,drug,wolf,-5.840541839599609
740,dude,fun,-4.13129186630249
741,dude,hanging,-4.453864097595215
742,dude,sitting,-4.7842841148376465
743,dude,smile,-4.761022567749023
744,dusk,hummingbird,-3.9766499996185303
745,dusk,misty,-3.192166566848755
746,dye,kiss,-4.603331089019775
747,eagle,feather,-4.444644451141357
748,ear,organ,-4.28323221206665
749,earn,make,-5.098515510559082
750,ease,relaxation,-4.0142107009887695
751,ease,rest,-4.131714820861816
752,east,israel,-4.738379001617432
753,easter,preference,-5.231631755828857
754,eat,rabbit,-4.542115211486816
755,eat,soup,-3.76117205619812
756,eat,truck,-6.366753101348877
757,educated,learned,-4.450188159942627
758,effects,effects,-0.0
759,egg,lego,-4.699613571166992
760,egg,nest,-4.194750785827637
761,egg,white,-4.8709716796875
762,eight,movement,-5.108339786529541
763,element,mixture,-4.643023490905762
764,element,situation,-4.347916126251221
765,elephant,giraffe,-3.1371536254882812
766,emission,gum,-5.195587635040283
767,endeavor,worst,-4.7713422775268555
768,enemy,strike,-5.294349670410156
769,enforcing,execute,-4.9670491218566895
770,engine,gasoline,-5.214293479919434
771,engineering,technology,-4.104410648345947
772,english,french,-4.744000434875488
773,enhanced,increased,-4.9638495445251465
774,enjoy,suffering,-5.929629325866699
775,enterprise,industry,-4.462214469909668
776,entrance,registration,-5.489190101623535
777,equipment,seat,-5.7464070320129395
778,escalator,railway,-4.7381510734558105
779,escalator,redhead,-3.505950689315796
780,establishment,establishment,-0.0
781,evaluate,forecast,-5.846175193786621
782,evening,fun,-5.733226776123047
783,evening,night,-3.734182119369507
784,evening,time,-5.109755039215088
785,event,influence,-5.082167625427246
786,evidence,format,-5.671600818634033
787,evidence,record,-5.3165178298950195
